Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
7538	0.001454	0.000545	0.001464	0.010670	0.001031	0.004306	0.000475	0.004610	0.000419	0.000536	0.000513	0.000285	0.000268	-10422.835
7540	0.001454	0.000545	0.001464	0.010670	0.001031	0.004306	0.000475	0.004610	0.000419	0.000536	0.000513	0.000285	0.000268	-10433.650
7542	0.001454	0.000545	0.001464	0.010259	0.001031	0.004306	0.000475	0.004610	0.000419	0.000536	0.000513	0.000285	0.000268	-10440.364
7544	0.001406	0.000527	0.001415	0.009917	0.000997	0.004162	0.000459	0.004368	0.000405	0.000518	0.000496	0.000276	0.000259	-10409.930
7546	0.001406	0.000527	0.001415	0.009917	0.000997	0.004162	0.000459	0.006207	0.000405	0.000518	0.000496	0.000272	0.000259	-10446.271
7548	0.001406	0.000527	0.001415	0.009917	0.000997	0.004162	0.000459	0.006207	0.000405	0.000518	0.000496	0.000272	0.000259	-10420.683
7550	0.001503	0.000563	0.001513	0.010600	0.001066	0.004448	0.000490	0.006635	0.000433	0.000554	0.000530	0.000291	0.000277	-10434.110
7552	0.001503	0.000615	0.001599	0.010600	0.001066	0.004448	0.000490	0.006635	0.000433	0.000554	0.000530	0.000291	0.000277	-10414.182
7554	0.001729	0.000708	0.001840	0.012195	0.001226	0.005118	0.000564	0.007506	0.000498	0.000637	0.000610	0.000335	0.000318	-10416.299
7556	0.001729	0.000708	0.001840	0.012195	0.001226	0.005118	0.000564	0.007506	0.000508	0.000637	0.000610	0.000335	0.000312	-10423.066
7558	0.001729	0.000708	0.001840	0.012608	0.001226	0.005118	0.000564	0.007110	0.000508	0.000637	0.000610	0.000335	0.000312	-10409.000
7560	0.001449	0.000593	0.001542	0.010567	0.001028	0.004289	0.000474	0.005959	0.000419	0.000534	0.000511	0.000281	0.000266	-10401.146
7562	0.001278	0.000523	0.001809	0.008880	0.000906	0.003782	0.000418	0.006079	0.000369	0.000471	0.000450	0.000246	0.000234	-10430.195
7564	0.001329	0.000544	0.001881	0.009238	0.000943	0.003979	0.000435	0.004634	0.000377	0.000490	0.000468	0.000258	0.000249	-10410.790
7566	0.001329	0.000544	0.001881	0.009238	0.000943	0.003979	0.000435	0.004634	0.000380	0.000490	0.000468	0.000258	0.000247	-10408.170
7568	0.001405	0.000575	0.001989	0.009765	0.000996	0.004206	0.000453	0.004898	0.000401	0.000517	0.000498	0.000273	0.000261	-10389.965
7570	0.001405	0.000575	0.001989	0.009765	0.000996	0.004206	0.000453	0.003918	0.000653	0.000517	0.000498	0.000276	0.000261	-10421.740
7572	0.001405	0.000575	0.001989	0.009765	0.000996	0.004206	0.000453	0.003918	0.000640	0.000517	0.000498	0.000276	0.000266	-10394.390
7574	0.001405	0.000575	0.001989	0.009765	0.000996	0.004206	0.000468	0.003918	0.000650	0.000517	0.000491	0.000276	0.000262	-10439.676
7576	0.001405	0.000575	0.001989	0.009765	0.000996	0.004206	0.000525	0.005419	0.000650	0.000517	0.000491	0.000271	0.000262	-10409.458
7578	0.001405	0.000575	0.001989	0.009557	0.000996	0.004206	0.000525	0.003459	0.000650	0.000517	0.000491	0.000277	0.000262	-10412.108
7580	0.001389	0.000569	0.001966	0.009450	0.000985	0.004159	0.000606	0.006575	0.000643	0.000512	0.000486	0.000267	0.000259	-10383.492
7582	0.001781	0.000729	0.002521	0.012114	0.001263	0.005332	0.000777	0.008429	0.000838	0.000656	0.000623	0.000342	0.000327	-10385.519
7584	0.001630	0.000667	0.002646	0.011087	0.001156	0.004548	0.000711	0.007715	0.000767	0.000600	0.000570	0.000313	0.000299	-10415.091
7586	0.001630	0.000667	0.002646	0.011087	0.001156	0.004548	0.000733	0.007103	0.000834	0.000600	0.000562	0.000314	0.000299	-10416.351
