Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
150008	0.023357	0.002850	0.005803	0.001278	-10435.387
150010	0.026817	0.003272	0.006662	0.001467	-10415.517
150012	0.023187	0.002829	0.005760	0.001269	-10403.255
150014	0.023492	0.002338	0.005836	0.001285	-10419.794
150016	0.026947	0.002682	0.006675	0.001381	-10395.871
150018	0.026947	0.002682	0.006675	0.001381	-10408.482
150020	0.036414	0.003624	0.007913	0.001867	-10408.782
150022	0.030495	0.003035	0.006627	0.001563	-10400.647
150024	0.030861	0.003035	0.007149	0.001563	-10418.330
150026	0.030861	0.003035	0.007149	0.001563	-10426.795
150028	0.023446	0.002306	0.005041	0.001279	-10416.887
150030	0.026099	0.002567	0.005612	0.001424	-10383.181
150032	0.029343	0.002849	0.006228	0.001581	-10407.218
150034	0.029343	0.002849	0.006609	0.001581	-10406.452
150036	0.026446	0.002512	0.005557	0.001462	-10427.351
150038	0.025608	0.002512	0.005557	0.001462	-10395.809
150040	0.025608	0.002512	0.005557	0.001462	-10411.358
150042	0.022070	0.002165	0.004789	0.001260	-10418.082
150044	0.022070	0.002165	0.004789	0.001260	-10413.223
150046	0.021908	0.002150	0.005530	0.001251	-10422.248
150048	0.025082	0.002461	0.006331	0.001432	-10433.318
150050	0.028112	0.002758	0.007096	0.001605	-10419.328
150052	0.028241	0.002717	0.006989	0.001581	-10421.253
150054	0.029540	0.002841	0.006757	0.001654	-10434.361
150056	0.029917	0.002878	0.007828	0.001675	-10435.901
150058	0.029270	0.002878	0.008032	0.001675	-10437.187
150060	0.026037	0.002616	0.007676	0.001572	-10449.333
150062	0.027048	0.002718	0.007974	0.001633	-10446.497
150064	0.023594	0.002371	0.006956	0.001424	-10443.806
150066	0.023594	0.002371	0.006956	0.001424	-10418.332
150068	0.024447	0.002456	0.007207	0.001476	-10435.079
150070	0.024042	0.002416	0.007088	0.001451	-10428.763
150072	0.024042	0.002416	0.006407	0.001451	-10426.283
150074	0.023266	0.002416	0.006407	0.001451	-10429.831
150076	0.019891	0.002065	0.005841	0.001241	-10429.039
150078	0.019891	0.002850	0.006681	0.001241	-10415.727
150080	0.019259	0.002850	0.006797	0.001220	-10441.389
150082	0.020348	0.003011	0.007181	0.001289	-10426.012
150084	0.021242	0.002451	0.007497	0.001345	-10429.001
150086	0.021836	0.002451	0.007497	0.001345	-10394.828
150088	0.018330	0.002057	0.005991	0.001129	-10405.621
150090	0.018330	0.002057	0.005991	0.001129	-10442.652
150092	0.018330	0.002057	0.005496	0.001129	-10443.413
150094	0.018330	0.002057	0.005496	0.001129	-10419.789
150096	0.019523	0.002191	0.005854	0.001203	-10437.262
150098	0.017449	0.001958	0.005313	0.001058	-10427.674
150100	0.017449	0.001958	0.005313	0.001058	-10429.444
150102	0.017449	0.001958	0.005313	0.001058	-10408.716
150104	0.017449	0.001958	0.005313	0.001058	-10408.068
150106	0.017449	0.001958	0.005313	0.001058	-10432.494
150108	0.017449	0.002855	0.005313	0.001058	-10412.233
150110	0.017449	0.002130	0.005313	0.001058	-10423.889
150112	0.016277	0.002107	0.006355	0.001047	-10410.162
150114	0.016277	0.002107	0.006355	0.001047	-10395.676
150116	0.016277	0.002107	0.006355	0.001047	-10400.211
150118	0.016277	0.002107	0.006355	0.001047	-10394.356
150120	0.016494	0.002107	0.005638	0.001047	-10404.373
150122	0.016494	0.002107	0.005638	0.001047	-10410.045
150124	0.016494	0.002107	0.005276	0.001047	-10399.204
150126	0.017760	0.002268	0.005681	0.001127	-10389.238
150128	0.015571	0.001989	0.004981	0.000989	-10393.770
150130	0.015107	0.001989	0.004981	0.000989	-10428.671
150132	0.013395	0.001763	0.004417	0.000876	-10410.064
150134	0.015140	0.001993	0.004992	0.000991	-10393.557
150136	0.015140	0.001993	0.004992	0.000991	-10387.091
150138	0.015140	0.001944	0.004992	0.000991	-10404.049
150140	0.016283	0.002091	0.005369	0.001065	-10402.450
150142	0.015808	0.002030	0.006029	0.001034	-10421.860
150144	0.015932	0.002046	0.006076	0.001042	-10408.615
150146	0.015932	0.002046	0.006076	0.001042	-10421.826
150148	0.015932	0.002046	0.005804	0.001042	-10403.682
150150	0.015932	0.002046	0.005804	0.001042	-10425.439
150152	0.013964	0.001793	0.005087	0.000914	-10406.050
