Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
186766	0.005870	0.012348	0.003151	0.004617	0.003250	0.001230	0.000550	-10406.613
186768	0.005870	0.012348	0.003151	0.004080	0.003356	0.001241	0.000533	-10404.995
186770	0.005026	0.010573	0.002698	0.003583	0.003022	0.001047	0.000464	-10404.069
186772	0.004660	0.009986	0.002380	0.003214	0.002687	0.000989	0.000448	-10424.836
186774	0.004660	0.009986	0.002380	0.003271	0.002770	0.000979	0.000435	-10423.964
186776	0.004803	0.009734	0.002095	0.003084	0.003151	0.000985	0.000422	-10425.211
186778	0.004721	0.009567	0.001756	0.003129	0.003130	0.000951	0.000410	-10434.886
186780	0.005554	0.010712	0.001967	0.003678	0.003689	0.001036	0.000436	-10434.980
186782	0.005481	0.010573	0.001941	0.003577	0.003765	0.001031	0.000416	-10431.800
186784	0.005481	0.010573	0.001941	0.003644	0.003898	0.001020	0.000402	-10429.446
186786	0.006079	0.011725	0.002152	0.004326	0.004323	0.001138	0.000446	-10432.438
186788	0.005822	0.011229	0.002061	0.004143	0.004088	0.001090	0.000433	-10419.055
186790	0.005822	0.011459	0.002061	0.005098	0.004448	0.001093	0.000424	-10427.181
186792	0.005305	0.010441	0.001878	0.004368	0.003860	0.001012	0.000405	-10437.668
186794	0.005305	0.010441	0.001878	0.004245	0.003848	0.001030	0.000407	-10428.493
186796	0.005305	0.010441	0.002098	0.004475	0.003763	0.001048	0.000416	-10423.815
186798	0.005305	0.011233	0.002098	0.004511	0.003664	0.001043	0.000427	-10432.651
186800	0.004890	0.010357	0.001934	0.004064	0.003314	0.000975	0.000401	-10428.417
186802	0.004890	0.010164	0.001934	0.003867	0.003240	0.001004	0.000386	-10437.976
186804	0.005420	0.011264	0.002143	0.004279	0.003706	0.001114	0.000415	-10415.497
186806	0.005694	0.011264	0.002143	0.003957	0.003624	0.001114	0.000424	-10425.997
186808	0.005694	0.011264	0.001879	0.004299	0.003969	0.001110	0.000421	-10422.674
186810	0.005694	0.011264	0.001879	0.004115	0.003974	0.001100	0.000420	-10420.599
