Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
46478	0.004074	0.003167	0.015048	0.001365	0.006577	0.001627	0.001414	0.000988	0.000630	0.000574	-10427.645
46480	0.004074	0.003167	0.015048	0.001365	0.006577	0.001627	0.001414	0.000988	0.000630	0.000574	-10442.477
46482	0.004074	0.003167	0.014337	0.001365	0.006577	0.001627	0.001330	0.000988	0.000630	0.000610	-10437.699
46484	0.004074	0.003167	0.014337	0.001365	0.006577	0.001627	0.001330	0.000988	0.000630	0.000610	-10447.175
46486	0.004074	0.002826	0.014337	0.001365	0.006577	0.001627	0.001330	0.000988	0.000630	0.000610	-10449.862
46488	0.004338	0.003010	0.015267	0.001454	0.007941	0.001733	0.001417	0.001052	0.000671	0.000650	-10425.823
46490	0.003843	0.002666	0.013524	0.001288	0.007035	0.001535	0.001255	0.000932	0.000595	0.000576	-10441.705
46492	0.003843	0.002666	0.013524	0.001288	0.008027	0.001535	0.001255	0.000932	0.000595	0.000576	-10414.861
46494	0.003843	0.002666	0.014480	0.001288	0.006656	0.001535	0.001255	0.001001	0.000595	0.000576	-10417.809
46496	0.004405	0.003056	0.016597	0.001476	0.007629	0.001759	0.001432	0.001147	0.000681	0.000663	-10414.108
46498	0.004405	0.003056	0.016597	0.001476	0.009218	0.001759	0.001461	0.001067	0.000681	0.000650	-10426.245
46500	0.004006	0.002383	0.015094	0.001342	0.008383	0.001600	0.001372	0.000970	0.000620	0.000572	-10441.690
46502	0.004006	0.002383	0.015094	0.001342	0.008383	0.001494	0.001330	0.000970	0.000623	0.000590	-10422.273
46504	0.003608	0.002146	0.013594	0.001209	0.007550	0.001346	0.001857	0.000874	0.000561	0.000532	-10418.827
46506	0.003179	0.001891	0.011979	0.001065	0.005716	0.001186	0.001687	0.000770	0.000495	0.000454	-10418.296
46508	0.003781	0.002250	0.014249	0.001267	0.006799	0.001488	0.002007	0.000916	0.000586	0.000540	-10434.111
46510	0.003781	0.002250	0.014249	0.001267	0.006799	0.001488	0.002034	0.000916	0.000586	0.000533	-10429.030
46512	0.003781	0.002250	0.014249	0.001267	0.006799	0.001414	0.001179	0.000916	0.000590	0.000557	-10439.478
46514	0.003781	0.002250	0.014249	0.001267	0.006799	0.001414	0.001215	0.000916	0.000590	0.000540	-10419.999
46516	0.003781	0.002250	0.014249	0.001267	0.006799	0.001414	0.001215	0.000916	0.000590	0.000540	-10419.875
46518	0.003781	0.002250	0.014249	0.001267	0.006799	0.001414	0.001235	0.000916	0.000590	0.000532	-10420.179
46520	0.003781	0.002250	0.014249	0.001267	0.007794	0.001414	0.001202	0.000916	0.000590	0.000547	-10425.808
46522	0.003965	0.002359	0.014942	0.001329	0.008173	0.001483	0.001260	0.000961	0.000619	0.000573	-10411.207
46524	0.003965	0.002359	0.014942	0.001329	0.008173	0.001483	0.001260	0.000961	0.000619	0.000573	-10442.273
46526	0.003965	0.002359	0.014942	0.001594	0.007197	0.001483	0.001260	0.000961	0.000619	0.000573	-10425.244
46528	0.003996	0.002377	0.015056	0.001606	0.007252	0.001494	0.001270	0.000968	0.000623	0.000578	-10425.343
46530	0.003996	0.002377	0.013792	0.001606	0.007252	0.001494	0.001270	0.000968	0.000623	0.000578	-10432.124
46532	0.004444	0.002644	0.016727	0.001787	0.008065	0.001662	0.001412	0.001076	0.000693	0.000642	-10415.763
46534	0.004082	0.002429	0.014500	0.001641	0.007409	0.001527	0.001297	0.000989	0.000637	0.000590	-10428.897
46536	0.004893	0.002911	0.017378	0.001967	0.008880	0.001830	0.001555	0.001185	0.000763	0.000707	-10417.079
46538	0.003998	0.002379	0.014199	0.001607	0.007255	0.001495	0.001270	0.000968	0.000624	0.000578	-10407.102
46540	0.003998	0.002379	0.014199	0.001607	0.007255	0.001495	0.001259	0.000968	0.000624	0.000583	-10395.708
46542	0.003998	0.002379	0.014199	0.001607	0.007255	0.001495	0.001283	0.000968	0.000624	0.000572	-10410.547
46544	0.003998	0.002379	0.014199	0.001607	0.007255	0.001495	0.001283	0.000968	0.000624	0.000572	-10411.876
46546	0.003387	0.002015	0.012030	0.001362	0.005085	0.001267	0.001087	0.000820	0.000528	0.000485	-10398.382
46548	0.003461	0.002059	0.012291	0.001391	0.004857	0.001406	0.001085	0.000859	0.000536	0.000507	-10398.788
46550	0.003789	0.002254	0.013456	0.001523	0.006117	0.001540	0.001187	0.000935	0.000587	0.000555	-10405.037
46552	0.004332	0.002578	0.016161	0.001742	0.005804	0.001761	0.001358	0.001069	0.000671	0.000635	-10406.586
46554	0.003491	0.002077	0.013022	0.001403	0.004677	0.001378	0.001104	0.000861	0.000542	0.000507	-10433.489
46556	0.004149	0.002469	0.015479	0.001668	0.005559	0.001638	0.001353	0.001024	0.000644	0.000585	-10441.354
46558	0.003231	0.001922	0.012054	0.001299	0.004329	0.001276	0.001093	0.000797	0.000502	0.000439	-10412.239
46560	0.003358	0.001998	0.012528	0.001350	0.005044	0.001326	0.001136	0.000829	0.000521	0.000456	-10405.622
46562	0.003358	0.001998	0.012722	0.001350	0.005044	0.001326	0.001136	0.000829	0.000521	0.000456	-10426.297
46564	0.003484	0.002073	0.013201	0.001401	0.005234	0.001376	0.001179	0.000860	0.000541	0.000473	-10405.807
46566	0.003187	0.001896	0.012075	0.001281	0.004788	0.001259	0.001079	0.000786	0.000495	0.000433	-10406.281
46568	0.003795	0.002258	0.014376	0.001526	0.005700	0.001498	0.001300	0.000936	0.000589	0.000509	-10413.950
